;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;social;ideología;economía;internacional;cultura;inseguridad ciudadana;jóvenes;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
38;2005.0;3.0;0.0226055919096;0.0243902439024;0.0226055919096;0.0511600237954;0.046995835812;0.0237953599048;0.0;0.0261748958953;0.240333135039;0.0612730517549;0.0356930398572;0.0386674598453;0.0160618679358;0.168947055324;0.034503271862;0.0505651397977;0.0261748958953;0.11005353956;0.0
39;2005.0;4.0;0.040765391015;0.0133111480865;0.0557404326123;0.0698835274542;0.145590682196;0.0108153078203;0.0303660565724;0.0178868552413;0.185524126456;0.0324459234609;0.0178868552413;0.029534109817;0.0765391014975;0.0299500831947;0.0574043261231;0.074459234609;0.0345257903494;0.0773710482529;0.0
40;2005.0;5.0;0.0207219251337;0.0588235294118;0.0942513368984;0.118315508021;0.120989304813;0.0387700534759;0.0;0.0233957219251;0.120320855615;0.0494652406417;0.0274064171123;0.0300802139037;0.0681818181818;0.0307486631016;0.0681818181818;0.0701871657754;0.0167112299465;0.043449197861;0.0
41;2005.0;6.0;0.013855898654;0.0514647664291;0.0292953285827;0.00870942201108;0.123119556611;0.0233570863025;0.00395882818686;0.0126682501979;0.180522565321;0.0859065716548;0.0;0.0530482977039;0.0673000791766;0.0961995249406;0.0851148060174;0.0799683293745;0.0391923990499;0.0463182897862;0.0
143;2005.0;7.0;0.012799835448;0.0437039134637;0.0212312941846;0.0237497287991;0.0939441199426;0.0253796107669;0.0204847521717;0.0285761179815;0.275492599386;0.0659070224822;0.0119217081851;0.0444956791011;0.0724400751755;0.0772812571322;0.0544791111938;0.0504823853278;0.028492996678;0.0491377925799;0.0
42;2005.0;9.0;0.011743772242;0.0359430604982;0.0131672597865;0.0387900355872;0.064768683274;0.0274021352313;0.0370106761566;0.0444839857651;0.370462633452;0.0459074733096;0.0238434163701;0.0359430604982;0.0775800711744;0.0583629893238;0.0238434163701;0.0209964412811;0.017793594306;0.0519572953737;0.0
43;2005.0;10.0;0.0220994475138;0.024861878453;0.0;0.0779005524862;0.140331491713;0.0;0.0243093922652;0.0;0.177900552486;0.0204419889503;0.021546961326;0.0237569060773;0.174033149171;0.0685082872928;0.0;0.102209944751;0.0419889502762;0.0801104972376;0.0
44;2005.0;11.0;0.0428730512249;0.011135857461;0.097438752784;0.0;0.136971046771;0.0462138084633;0.0;0.0;0.185412026726;0.0890868596882;0.0189309576837;0.0;0.021714922049;0.127505567929;0.106904231626;0.0200445434298;0.0;0.0957683741648;0.0
45;2005.0;12.0;0.0;0.0150281778334;0.0425798371947;0.0450845335003;0.205385097057;0.0256731371321;0.0231684408265;0.0150281778334;0.177207263619;0.0538509705698;0.0482154038823;0.0363180964308;0.0594865372574;0.090795241077;0.0281778334377;0.0;0.0519724483406;0.0820288040075;0.0
144;2006.0;1.0;0.016639935846;0.0734723888365;0.0212899185974;0.0271533333099;0.133366165209;0.0495246198892;0.0194029854494;0.0137290047146;0.199670191553;0.0403577226546;0.0241077019411;0.0388086071569;0.0870808788933;0.06604717948;0.0313302960292;0.0132317562149;0.0558579162313;0.0889293979941;0.0
46;2006.0;2.0;0.0332798716921;0.13191659984;0.0;0.00922213311949;0.0613472333601;0.0733761026464;0.0156375300722;0.0124298315958;0.222133119487;0.0268644747394;0.0;0.0412991178829;0.114675220529;0.0412991178829;0.0344827586207;0.0264635124298;0.0597433841219;0.0958299919808;0.0
47;2006.0;3.0;0.0677029360967;0.0915371329879;0.0134715025907;0.047322970639;0.101899827288;0.0317789291883;0.0259067357513;0.0124352331606;0.193436960276;0.0355785837651;0.0331606217617;0.0348877374784;0.0880829015544;0.0818652849741;0.00725388601036;0.0328151986183;0.0165803108808;0.0842832469775;0.0
48;2006.0;4.0;0.0369108461102;0.00965360590574;0.0;0.0374787052811;0.132311186826;0.0414537194776;0.0465644520159;0.0;0.21465076661;0.0147643384441;0.0647359454855;0.0590573537763;0.0488358886996;0.145371947757;0.023282226008;0.0210107893242;0.0;0.103918228279;0.0
49;2006.0;5.0;0.0184515195369;0.0835745296671;0.0;0.0383502170767;0.121201157742;0.0705499276411;0.0303907380608;0.0;0.15991316932;0.0745296671491;0.0;0.00795947901592;0.0770622286541;0.0376266280753;0.0748914616498;0.0781476121563;0.0452243125904;0.0821273516643;0.0
50;2006.0;6.0;0.0678336980306;0.10010940919;0.02352297593;0.0;0.13238512035;0.0415754923414;0.0;0.0;0.233041575492;0.00711159737418;0.0;0.0689277899344;0.0836980306346;0.0607221006565;0.0448577680525;0.0454048140044;0.0481400437637;0.0426695842451;0.0
145;2006.0;7.0;0.0339168490153;0.0612350565013;0.0196427196365;0.0113636363636;0.128692560175;0.0345340804815;0.0;0.00293255131965;0.233822840532;0.0319648895962;0.0150293255132;0.0559081764921;0.106731713265;0.0882789388913;0.0347089426773;0.0435968351547;0.0431316054596;0.0545092789261;0.0
51;2006.0;9.0;0.0;0.0223607038123;0.0157624633431;0.0227272727273;0.125;0.0274926686217;0.0;0.0058651026393;0.234604105572;0.0568181818182;0.0300586510264;0.0428885630499;0.129765395894;0.115835777126;0.0245601173021;0.041788856305;0.0381231671554;0.066348973607;0.0
52;2006.0;10.0;0.0;0.0558858501784;0.0463733650416;0.0814506539834;0.134363852556;0.0535077288942;0.0;0.0154577883472;0.167657550535;0.0844233055886;0.0457788347206;0.0190249702735;0.0481569560048;0.038644470868;0.0077288941736;0.0856123662307;0.0;0.115933412604;0.0
53;2006.0;11.0;0.023127753304;0.111233480176;0.0930616740088;0.0;0.179515418502;0.022577092511;0.0;0.0165198237885;0.143171806167;0.0203744493392;0.0390969162996;0.0;0.0479074889868;0.112885462555;0.0148678414097;0.023127753304;0.0693832599119;0.0831497797357;0.0
54;2006.0;12.0;0.0312954876274;0.114264919942;0.0;0.0;0.122998544396;0.0960698689956;0.0;0.0;0.0851528384279;0.114264919942;0.0269286754003;0.0247452692868;0.0720524017467;0.0;0.0815138282387;0.117176128093;0.0531295487627;0.0604075691412;0.0
146;2007.0;1.0;0.0319647601307;0.114824767663;0.0;0.0;0.141141851841;0.0542509407138;0.0149572649573;0.0238927738928;0.137953264591;0.0891837420222;0.0134643377001;0.0446181668889;0.0519547168019;0.0168997668998;0.0489154222779;0.117834373293;0.0362772840939;0.0618665662334;0.0
55;2007.0;2.0;0.032634032634;0.115384615385;0.0;0.0;0.159285159285;0.012432012432;0.0299145299145;0.0477855477855;0.190753690754;0.0641025641026;0.0;0.0644910644911;0.031857031857;0.0337995337995;0.016317016317;0.118492618493;0.019425019425;0.0633255633256;0.0
56;2007.0;3.0;0.0159195643067;0.0938416422287;0.0351906158358;0.0;0.0460829493088;0.0481776288228;0.0201089233347;0.0;0.221198156682;0.0351906158358;0.0439882697947;0.0134059488898;0.0335148722245;0.0305823209049;0.0666108085463;0.108085462924;0.0632593213238;0.124842899036;0.0
